Question,Expected SQL Query,Generated SQL Query,Query Result,Execution Time (s)
How many cases are there in total in the database?,SELECT COUNT(*) FROM cases;,SELECT COUNT(*) FROM cases AS c,count_star(): 1000,5.3500659465789795
How many activities have been recorded?,SELECT COUNT(*) FROM activity;,SELECT COUNT(*) FROM activity AS a,count_star(): 23233,0.9427580833435059
What are the different types of insurance available?,SELECT DISTINCT type FROM cases;,SELECT DISTINCT type FROM cases,"type: Renewal
type: Issuance
type: Policy onboarding",0.9323935508728027
What is the total value of approved insurance policies?,SELECT SUM(value) FROM cases WHERE approved = 1;,SELECT SUM(CASE WHEN c.approved THEN c.value ELSE 0 END) AS total_value FROM cases c,total_value: 3751100,1.5960123538970947
How many cases were created in January?,SELECT COUNT(*) FROM cases WHERE EXTRACT(MONTH FROM insurance_creation) = 1;,SELECT COUNT(c.id) FROM cases AS c WHERE EXTRACT(MONTH FROM c.insurance_creation) = 1,count(c.id): 355,1.7234420776367188
Who is the broker with the most assigned cases?,SELECT brocker FROM cases GROUP BY brocker ORDER BY COUNT(*) DESC LIMIT 1;,SELECT T1.broker FROM cases AS T1 INNER JOIN activity AS T2 ON T1.id = T2.case GROUP BY T1.broker ORDER BY COUNT(T2.id) DESC LIMIT 1,broker: Leah,2.320697546005249
What is the most frequent activity in the database?,SELECT name FROM activity GROUP BY name ORDER BY COUNT(*) DESC LIMIT 1;,SELECT name FROM activity GROUP BY name ORDER BY COUNT(*) DESC LIMIT 1,name: Enviar a Revisión suscripción,1.2916982173919678
What is the total insurance value for each type of 'ramo'?,"SELECT ramo, SUM(value) FROM cases GROUP BY ramo;","SELECT c.type, SUM(c.value) AS total_insurance_value FROM cases c GROUP BY c.type","type: Renewal, total_insurance_value: 1653800
type: Policy onboarding, total_insurance_value: 1973600
type: Issuance, total_insurance_value: 1775000",1.564302682876587
"On average, how long does it take for an insurance policy to be approved?",SELECT AVG(EXTRACT(DAY FROM insurance_start - insurance_creation)) FROM cases WHERE approved = 1;,SELECT AVG(CASE WHEN c.approved THEN a.tpt ELSE NULL END) AS avg_time FROM cases c JOIN activity a ON c.id = a.case WHERE c.approved = TRUE,avg_time: 41554.25372850789,2.196190118789673
What is the average number of activities per case?,SELECT COUNT(activity.id) / COUNT(DISTINCT cases.id) FROM activity INNER JOIN cases ON activity.case = cases.id;,SELECT COUNT(a.id) / COUNT(c.id) AS avg_activities FROM cases c JOIN activity a ON c.id = a.case,avg_activities: 1.0,1.8642871379852295
