model,question,sql_query,expected queryquery_result,duration,final_answer,expected answer
deepseek-coder:6.7b,How many cases are there in total in the database?,"SELECT COUNT(*) FROM cases;
",SELECT COUNT(*) FROM cases;,count_star(): 1000,3.129763126373291,1000,1000
deepseek-coder:6.7b,How many activities have been recorded?,"SELECT COUNT(*) FROM activity;
",SELECT COUNT(*) FROM activity;,count_star(): 23233,2.621997833251953,23233,23233
deepseek-coder:6.7b,What are the different types of insurance available?,"SELECT DISTINCT type FROM cases;
",SELECT DISTINCT type FROM cases;,"type: Renewal
type: Issuance
type: Policy onboarding",3.6554980278015137,"Renewal
type: Issuance
type: Policy onboarding",3
deepseek-coder:6.7b,What is the total value of approved insurance policies?,"SELECT SUM(value) FROM cases WHERE approved = 1;
",SELECT SUM(value) FROM cases WHERE approved = 1;,"sum(""value""): 3751100",4.1330578327178955,3751100,3751100
deepseek-coder:6.7b,How many cases were created in January,"SELECT COUNT(*) FROM cases WHERE strftime('%m', insurance_creation) = '01';
",SELECT COUNT(*) FROM cases WHERE EXTRACT(MONTH FROM insurance_creation) = 1,count_star(): 355,7.3521881103515625,355,355
deepseek-coder:6.7b,Who is the brocker with the most assigned cases?,"SELECT broker FROM cases GROUP BY broker ORDER BY COUNT(*) DESC LIMIT 1;
",SELECT brocker FROM cases GROUP BY brocker ORDER BY COUNT(*) DESC LIMIT 1;,"Error executing SQL query: Binder Error: Referenced column ""broker"" not found in FROM clause!
Candidate bindings: ""brocker"", ""creator"", ""approved"", ""ramo"", ""branch""

LINE 1: SELECT broker FROM cases GROUP BY broker ORDER BY COUNT(*) DESC LIMIT 1;
                                          ^",5.646794080734253,"Binder Error: Referenced column ""broker"" not found in FROM clause!
Candidate bindings: ""brocker"", ""creator"", ""approved"", ""ramo"", ""branch""

LINE 1: SELECT broker FROM cases GROUP BY broker ORDER BY COUNT(*) DESC LIMIT 1;
                                          ^",Stanley
deepseek-coder:6.7b,What is the most frequent activity in the database?,"SELECT name, COUNT(*) as count FROM activity GROUP BY name ORDER BY count DESC LIMIT 1;
",SELECT name FROM activity GROUP BY name ORDER BY COUNT(*) DESC LIMIT 1;,"name: Enviar a Revisión suscripción, count: 1345",6.853060245513916,"Enviar a Revisión suscripción, count: 1345",Enviar a Revisión suscripción
deepseek-coder:6.7b,"On average, how long does it take for an insurance policy to be approved in seconds?","SELECT AVG(julianday('now') - julianday(insurance_creation)) * 24 * 60 * 60 as avg_approval_time  
FROM cases WHERE approved = 1;
",SELECT AVG(EXTRACT(DAY FROM insurance_start - insurance_creation)) FROM cases WHERE approved = 1;,"Error executing SQL query: Catalog Error: Scalar Function with name julianday does not exist!
Did you mean ""julian""?

LINE 1: SELECT AVG(julianday('now') - julianday(insurance_creation)) * 24 ...
                   ^",15.380945205688477,"Catalog Error: Scalar Function with name julianday does not exist!
Did you mean ""julian""?

LINE 1: SELECT AVG(julianday('now') - julianday(insurance_creation)) * 24 ...
                   ^",1245419.63
deepseek-coder:6.7b,What is the average number of activities per case?,"SELECT AVG(count) FROM (SELECT COUNT(*) as count FROM activity GROUP BY case);
",SELECT COUNT(activity.id) / COUNT(DISTINCT cases.id) FROM activity INNER JOIN cases ON activity.case = cases.id;,"Error executing SQL query: Parser Error: syntax error at or near "")""",7.549378395080566,"Parser Error: syntax error at or near "")""",23.23
deepseek-coder:6.7b,What is the most frequent activity performed in approved cases?,"SELECT name, COUNT(*) as count FROM activity INNER JOIN cases ON activity.case = cases.id WHERE approved = 1 GROUP BY name ORDER BY count DESC LIMIT 1;
",SELECT activity.name FROM activity INNER JOIN cases ON activity.case = cases.id WHERE cases.approved = TRUE GROUP BY activity.name ORDER BY COUNT(activity.id) DESC LIMIT 1;,"name: Revisión en emisión, count: 1112",10.940482139587402,"Revisión en emisión, count: 1112",Revisión en emisión
deepseek-coder:6.7b,What is the total value of cases that have at least 25 recorded activity?,"SELECT SUM(c.value) FROM cases c JOIN (SELECT a.case, COUNT(*) as count FROM activity a GROUP BY a.case HAVING count >= 25) b ON c.id = b.case;
",SELECT SUM(cases.value) FROM cases WHERE cases.id IN (SELECT DISTINCT case FROM activity);,"sum(c.""value""): 2206200",14.668529510498047,2206200,2206200
codeqwen,How many cases are there in total in the database?,SELECT COUNT(*) FROM cases,SELECT COUNT(*) FROM cases;,count_star(): 1000,23.30901074409485,1000,1000
codeqwen,How many activities have been recorded?,SELECT COUNT(*) FROM activity,SELECT COUNT(*) FROM activity;,count_star(): 23233,3.7133538722991943,23233,23233
codeqwen,What are the different types of insurance available?,SELECT DISTINCT type FROM cases,SELECT DISTINCT type FROM cases;,"type: Renewal
type: Policy onboarding
type: Issuance",4.519668340682983,"Renewal
type: Policy onboarding
type: Issuance",3
codeqwen,What is the total value of approved insurance policies?,SELECT SUM(value) FROM cases WHERE approved = 1,SELECT SUM(value) FROM cases WHERE approved = 1;,"sum(""value""): 3751100",6.341614007949829,3751100,3751100
codeqwen,How many cases were created in January,SELECT COUNT(*) FROM cases WHERE MONTH(insurance_creation) = 1 AND YEAR(insurance_creation) = YEAR(CURRENT_DATE),SELECT COUNT(*) FROM cases WHERE EXTRACT(MONTH FROM insurance_creation) = 1,count_star(): 355,13.597322940826416,355,355
codeqwen,Who is the brocker with the most assigned cases?,SELECT T1.broker FROM cases AS T1 JOIN activity AS T2 ON T1.id = T2.case GROUP BY T1.broker ORDER BY COUNT(T2.id) DESC LIMIT 1,SELECT brocker FROM cases GROUP BY brocker ORDER BY COUNT(*) DESC LIMIT 1;,"Error executing SQL query: Binder Error: Table ""T1"" does not have a column named ""broker""

Candidate bindings: : ""brocker""

LINE 1: ... cases AS T1 JOIN activity AS T2 ON T1.id = T2.case GROUP BY T1.broker ORDER BY COUNT(T2.id) DESC LIMIT 1
                                                                        ^",15.37394642829895,"Binder Error: Table ""T1"" does not have a column named ""broker""

Candidate bindings: : ""brocker""

LINE 1: ... cases AS T1 JOIN activity AS T2 ON T1.id = T2.case GROUP BY T1.broker ORDER BY COUNT(T2.id) DESC LIMIT 1
                                                                        ^",Stanley
codeqwen,What is the most frequent activity in the database?,SELECT name FROM activity GROUP BY name ORDER BY COUNT(*) DESC LIMIT 1,SELECT name FROM activity GROUP BY name ORDER BY COUNT(*) DESC LIMIT 1;,name: Enviar a Revisión suscripción,7.990687370300293,Enviar a Revisión suscripción,Enviar a Revisión suscripción
