Question,Expected SQL Query,Generated SQL Query,Query Result,Execution Time (s)
How many cases are there in total in the database?,SELECT COUNT(*) FROM cases;,SELECT COUNT(*) FROM cases;,count_star(): 1000,1.1321628093719482
How many activities have been recorded?,SELECT COUNT(*) FROM activity;,"SELECT COUNT(a.""id"") AS ""number_of_activities""
FROM activity a
JOIN cases c ON a.""case"" = c.""id""
GROUP BY a.""case"", a.""timestamp"", a.""name""","number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
number_of_activities: 1
