Question,Expected SQL Query,Generated SQL Query,Query Result,Execution Time (s)
How many cases are there in total in the database?,SELECT COUNT(*) FROM cases;,SELECT COUNT(*) FROM cases;,count_star(): 1000,4.83163857460022
How many activities have been recorded?,SELECT COUNT(*) FROM activity;,SELECT COUNT(*) FROM activity,count_star(): 23233,1.1894371509552002
What are the different types of insurance available?,SELECT DISTINCT type FROM cases;,SELECT DISTINCT type FROM cases;,"type: Issuance
type: Policy onboarding
type: Renewal",1.303861379623413
What is the total value of approved insurance policies?,SELECT SUM(value) FROM cases WHERE approved = 1;,SELECT SUM(value) FROM cases WHERE approved = TRUE;,"sum(""value""): 3751100",1.4797194004058838
How many cases were created in January?,SELECT COUNT(*) FROM cases WHERE EXTRACT(MONTH FROM insurance_creation) = 1;,SELECT COUNT(*) FROM cases WHERE EXTRACT(MONTH FROM insurance_creation) = 1;,count_star(): 355,2.0166711807250977
Who is the broker with the most assigned cases?,SELECT brocker FROM cases GROUP BY brocker ORDER BY COUNT(*) DESC LIMIT 1;,"SELECT broker, COUNT(*) as case_count
FROM cases
GROUP BY broker
ORDER BY case_count DESC
LIMIT 1;","broker: Stanley, case_count: 9",2.2328195571899414
What is the most frequent activity in the database?,SELECT name FROM activity GROUP BY name ORDER BY COUNT(*) DESC LIMIT 1;,"SELECT a.name, COUNT(*) 
FROM activity a 
JOIN cases c ON a.case = c.id 
GROUP BY a.name 
ORDER BY COUNT(*) DESC 
LIMIT 1;","name: Enviar a Revisión suscripción, count_star(): 1345",2.6746625900268555
What is the total insurance value for each type of 'ramo'?,"SELECT ramo, SUM(value) FROM cases GROUP BY ramo;","SELECT ramo, SUM(value) FROM cases GROUP BY ramo;","ramo: Disability Insurance, sum(""value""): 175000
ramo: Burial Insurance, sum(""value""): 277700
ramo: Health Insurance, sum(""value""): 250800
ramo: Travel Insurance, sum(""value""): 281000
ramo: Workers' Compensation Insurance, sum(""value""): 365000
ramo: Earthquake Insurance, sum(""value""): 220500
ramo: Aviation Insurance, sum(""value""): 285000
ramo: Pet Insurance, sum(""value""): 259800
ramo: Auto Insurance, sum(""value""): 338600
ramo: Business Insurance, sum(""value""): 224300
ramo: Liability Insurance, sum(""value""): 294900
ramo: Flood Insurance, sum(""value""): 289000
ramo: Fire Insurance, sum(""value""): 305200
ramo: Crop Insurance, sum(""value""): 252600
ramo: Home Insurance, sum(""value""): 215300
ramo: Life Insurance, sum(""value""): 234700
ramo: Title Insurance, sum(""value""): 272800
ramo: Cyber Insurance, sum(""value""): 210900
ramo: Renters Insurance, sum(""value""): 398400
ramo: Marine Insurance, sum(""value""): 250900",1.6079895496368408
"On average, how long does it take for an insurance policy to be approved?",SELECT AVG(EXTRACT(DAY FROM insurance_start - insurance_creation)) FROM cases WHERE approved = 1;,SELECT AVG(c.avg_time) FROM cases c WHERE c.state = 'approved',avg(c.avg_time): None,1.9916982650756836
What is the average number of activities per case?,SELECT COUNT(activity.id) / COUNT(DISTINCT cases.id) FROM activity INNER JOIN cases ON activity.case = cases.id;,SELECT AVG(a.case_index) FROM activity a JOIN cases c ON a.case = c.id;,avg(a.case_index): 5065.7115310119225,1.9002037048339844
What is the most frequent activity performed in approved cases?,SELECT activity.name FROM activity INNER JOIN cases ON activity.case = cases.id WHERE cases.approved = TRUE GROUP BY activity.name ORDER BY COUNT(activity.id) DESC LIMIT 1;,"SELECT a.name, COUNT(*) 
FROM activity a 
JOIN cases c ON a.case = c.id 
WHERE c.approved = TRUE 
GROUP BY a.name 
ORDER BY COUNT(*) DESC 
LIMIT 1;","name: Revisión en emisión, count_star(): 1112",3.576012372970581
